side,layer_proj,kind,max_over_median
LLM,L02.q_proj,act,12.1957
LLM,L02.o_proj,act,4.38517
LLM,L02.gate_proj,act,14.3365
LLM,L02.down_proj,act,219.288
LLM,L08.q_proj,act,12.1016
LLM,L08.o_proj,act,3.05174
LLM,L08.gate_proj,act,4.64222
LLM,L08.down_proj,act,21.3445
LLM,L14.q_proj,act,27.4915
LLM,L14.o_proj,act,4.65729
LLM,L14.gate_proj,act,7.44723
LLM,L14.down_proj,act,188.183
DiT,L02.q_proj,act,9.97246
DiT,L02.o_proj,act,7.97517
DiT,L02.gate_proj,act,17.4178
DiT,L02.down_proj,act,27.7528
DiT,L08.q_proj,act,13.4922
DiT,L08.o_proj,act,7.16574
DiT,L08.gate_proj,act,5.56534
DiT,L08.down_proj,act,90.3587
DiT,L14.q_proj,act,5.29093
DiT,L14.o_proj,act,7.69525
DiT,L14.gate_proj,act,3.94758
DiT,L14.down_proj,act,61.7203
LLM,L02.q_proj,weight,2.12
LLM,L02.o_proj,weight,7.46269
LLM,L02.gate_proj,weight,2.67105
LLM,L02.down_proj,weight,10.0282
LLM,L08.q_proj,weight,2.32749
LLM,L08.o_proj,weight,9.25436
LLM,L08.gate_proj,weight,3.1
LLM,L08.down_proj,weight,10.5734
LLM,L14.q_proj,weight,2
LLM,L14.o_proj,weight,5.36774
LLM,L14.gate_proj,weight,3.83099
LLM,L14.down_proj,weight,7.82734
DiT,L02.q_proj,weight,2.58672
DiT,L02.o_proj,weight,1.86977
DiT,L02.gate_proj,weight,1.84286
DiT,L02.down_proj,weight,2.04255
DiT,L08.q_proj,weight,1.73239
DiT,L08.o_proj,weight,1.60699
DiT,L08.gate_proj,weight,1.78378
DiT,L08.down_proj,weight,2.33663
DiT,L14.q_proj,weight,1.52206
DiT,L14.o_proj,weight,1.54757
DiT,L14.gate_proj,weight,2.13514
DiT,L14.down_proj,weight,2.49
