tag,side,n_tokens,in_f,nmse_raw,nmse_svd,nmse_svdh,rowmax_p99_raw,rowmax_p99_svd,rowmax_p99_svdh,rowmax_max_raw,rowmax_max_svd,rowmax_max_svdh,chan_maxmed_raw,chan_maxmed_svd,chan_maxmed_svdh
LLM-L02.down_proj,LLM,3872,16384,0.0553426,0.193845,0.063243,77.1875,57.4275,20.275,77.1875,57.4275,20.275,215.343,75.4527,22.9883
LLM-L08.down_proj,LLM,3872,16384,0.300893,0.304881,0.129026,19.9077,11.2688,6.47857,37.2334,19.667,11.0937,23.3933,12.2151,7.69353
LLM-L14.down_proj,LLM,3872,16384,0.116201,0.357338,0.148659,375.003,311.093,117.686,871.531,671.669,240.06,205.65,119.595,41.1678
LLM-L02.q_proj,LLM,3872,2048,0.18793,0.170168,0.0378624,10.6404,8.74578,4.6699,15.0265,9.62634,5.78144,12.3551,8.86653,4.4372
LLM-L02.gate_proj,LLM,3872,2048,0.0731817,0.0627848,0.0166771,17.2407,16.0016,7.80199,17.2907,16.0016,7.80199,14.2897,12.7459,5.9003
DiT-L02.q_proj,DiT,400,1024,0.0353705,0.0225109,0.00953523,4.31406,3.5131,1.51207,4.90625,3.82638,1.57676,11.4213,6.37148,2.29266
DiT-L02.down_proj,DiT,400,4096,0.104624,0.00807808,0.00415228,7.65719,5.00297,3.32378,9.75,6.30734,3.65957,23.9882,5.32697,2.78327
DiT-L08.q_proj,DiT,400,1024,0.09385,0.0538855,0.0177831,5.00063,5.77817,2.20146,5.28125,6.55295,2.34452,11.0478,10.3163,2.46277
DiT-L08.down_proj,DiT,400,4096,0.214556,0.136106,0.115303,9.62688,4.97693,4.20789,11.8125,6.09373,5.23539,80.0071,29.1603,24.8637
DiT-L14.q_proj,DiT,400,1024,0.0224947,0.0166151,0.0124154,2.56266,1.77613,1.44554,2.67188,1.85273,1.52792,4.80329,2.96276,2.33431
