tag,side,n_tokens,in_f,nmse_raw,nmse_svd,nmse_svdh,rowmax_p99_raw,rowmax_p99_svd,rowmax_p99_svdh,rowmax_max_raw,rowmax_max_svd,rowmax_max_svdh,chan_maxmed_raw,chan_maxmed_svd,chan_maxmed_svdh
L02.down_proj,LLM,2233,6144,0.000970654,0.147616,0.0562806,7.40625,3.66265,2.37443,21376,18000.7,4970.25,57898.7,44298.1,10922.6
L05.down_proj,LLM,2233,6144,0.374408,0.274668,0.133627,9.375,4.46773,3.30866,13.375,7.32109,4.26225,24.2231,12.6684,6.95251
L09.down_proj,LLM,2233,6144,0.397394,0.386492,0.132732,29.9449,15.0634,9.34067,89,44.5591,28.3067,137.223,51.5846,31.0941
L02.q_proj,LLM,2233,2048,0.152747,0.138505,0.027851,3.78687,3.38781,0.95334,5.15625,3.98654,1.36776,19.0355,12.9647,4.23117
L02.gate_proj,LLM,2233,2048,0.0911948,0.0849221,0.0153716,22.085,19.0406,5.41008,70.5,68.5861,12.8286,65.0294,60.5029,10.9595
L02.to_q,DiT,1568,1536,0.0956085,0.0513416,0.0186124,3.84375,2.51022,1.28006,4,2.61876,1.39341,13.9507,8.12748,4.15674
L02.ff.down,DiT,1568,6144,0.0889636,0.0528244,0.0278005,8.02062,3.82751,2.68116,8.3125,4.32712,2.80203,23.7345,6.32908,4.34099
L08.to_q,DiT,1568,1536,0.0501942,0.0305139,0.0235422,3.22375,1.44254,1.25151,3.34375,1.50797,1.33354,5.98601,2.60884,2.24845
L08.ff.down,DiT,1568,6144,0.180505,0.103699,0.0672835,5.65625,2.76557,2.69466,5.75,2.90578,2.79535,8.98899,3.99311,3.88728
L14.to_q,DiT,1568,1536,0.0619268,0.0525856,0.0241126,3.21875,2.95845,1.57217,3.5,3.28406,1.65921,5.60934,4.5531,2.30293
