tag,side,in_f,n_tokens,raw_chan_maxmed,svd_chan_maxmed,svdh_chan_maxmed,raw_rowmax_maxmed,svd_rowmax_maxmed,svdh_rowmax_maxmed
L02.down_proj,LLM,6144,2233,5.79e+04,4.43e+04,1.092e+04,1.425e+04,1.773e+04,8756
L05.down_proj,LLM,6144,2233,24.22,12.67,6.953,4.92,4.781,4.685
L09.down_proj,LLM,6144,2233,137.2,51.58,31.09,22.51,14.22,22.93
L02.q_proj,LLM,2048,2233,19.04,12.96,4.231,3.367,2.889,2.686
L02.gate_proj,LLM,2048,2233,65.03,60.5,10.96,7.622,8.5,4.994
L02.to_q,DiT,1536,1568,13.95,8.127,4.157,2.96,3.529,2.3
L02.ff.down,DiT,6144,1568,23.73,6.329,4.341,2.57,2.67,2.405
L08.to_q,DiT,1536,1568,5.986,2.609,2.248,2.088,1.431,1.464
L08.ff.down,DiT,6144,1568,8.989,3.993,3.887,2.165,1.791,2.515
L14.to_q,DiT,1536,1568,5.609,4.553,2.303,1.874,2.435,1.737
